objectid,unicode,x,y,wvp,krw_lichaam,krw_code,grvl150mg,grvl1000mg,filter_zoet_zout,pmg_kwantiteit,krw_kwantiteit,krw_doel,verdroging,project,project_naam,kantonnier,vervanger,logger,evid_terrbeh,evid_terrbeh_txt,vergunning,iwaco,calibratie,lmg_rivm,pmg_kwal_2006,krw_kwal_2006,bestrijd_2006,pmg_kwal_2015,krw_kwal_2015,p2_bestrijd,p3_medisch,p4_industrie,onderhoudsronde,foto,opmerking,getal2,pmg_kwal_2012,krw_kwal_2012,bestrijd_2012,wrsch_verwijderd,em_slimflex_2015,tecontr_aanwezigheidput,veldlabel,pmg_kwal_2017,krw_kwal_2017,perc2bm_2017,perc3en4_2017,bronhouder,nitg_nr,buis_nr,krw_kwantiteit2019,InwinMethLoc
5547,B49D0336-4,73229,382879,WVP2,,,-77,-127,zout,1,0,,0,0,,Jan Slabbekoorn,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0336,"4",0,9
5548,B49D0338-1,76910,383420,WVP1b,,,-14,-64,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0338,"1",0,9
5549,B49D0338-2,76910,383420,WVP1b,,,-14,-64,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0338,"2",0,9
5550,B49D0342-1,74965,383525,WVP1a,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0342,"1",0,9
5551,B49D0343-1,74975,383525,WVP1a,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0343,"1",0,9
5552,B49D0344-1,75000,383500,WVP1a,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0344,"1",0,9
6483,B49A0205-0,65900,399770,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"99",,0,0,0,,,B49A0205,"0",,9
5553,B49D0344-2,75000,383500,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0344,"2",0,9
5554,B49D0345-1,75850,383500,WVP1a,,,-101,-151,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0345,"1",0,9
5555,B49D0346-1,77000,383325,WVP1a,,,-1,-51,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0346,"1",0,9
4206,B43C0079-0,65500,409387,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"1",,0,0,0,,,B43C0079,"0",,9
4209,B43C0086-0,62687,410150,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"1",,0,0,0,,,B43C0086,"0",,9
4210,B43C0096-0,66062,410104,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"1",,0,0,0,,,B43C0096,"0",,9
5556,B49D0386-1,73340,381940,DKL,,,25,-25,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0386,"1",0,9
5557,B49D0394-1,72500,383310,DKL,,,-46,-96,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0394,"1",0,9
5558,B49D0395-1,76460,383400,DKL,,,-26,-76,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0395,"1",0,9
5559,B49D0396-1,76440,383390,DKL,,,-26,-76,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0396,"1",0,9
5560,B49D0399-1,74550,382550,,,,0,0,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0399,"1",0,9
5561,B49D0400-1,75100,382910,DKL,,,25,-25,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0400,"1",0,9
5562,B49D0402-1,75420,382090,DKL,,,-11,-61,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0402,"1",0,9
5563,B49D0404-1,76220,382560,DKL,,,-43,-93,deels zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0404,"1",0,9
5564,B49D0405-1,76180,382600,DKL,,,-46,-96,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0405,"1",0,9
5565,B49D0406-1,76140,382510,DKL,,,-54,-104,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0406,"1",0,9
5566,B49D0408-1,76960,382580,DKL,,,-14,-64,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0408,"1",0,9
6468,B48H0319-0,58090,376140,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,0,0,,"0",,0,0,0,0,,,"4",,0,0,0,,,B48H0319,"0",,9
5567,B49D0409-1,77490,382340,DKL,,,-39,-89,deels zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0409,"1",0,9
5568,B49D0412-1,73720,381720,DKL,,,-92,-142,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0412,"1",0,9
5569,B49D0413-1,75300,381110,FRP,,,-88,-688,deels zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0413,"1",0,9
5570,B49D0414-1,75300,381090,DKL,,,-74,-674,,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0414,"1",0,9
5571,B49D0415-1,75920,381700,DKL,,,-35,-85,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0415,"1",0,9
5572,B49D0416-1,72250,380990,DKL,,,-6,-56,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0416,"1",0,9
5573,B49D0418-1,73100,380500,DKL,,,32,-18,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0418,"1",0,9
5574,B49D0420-1,76100,380640,DKL,,,2,-48,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0420,"1",0,9
5575,B49D0422-1,76590,380760,DKL,,,14,-36,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0422,"1",0,9
5576,B49D0424-1,76650,379720,DKL,,,14,-36,deels zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0424,"1",0,9
5577,B49D0425-1,76430,379060,DKL,,,63,13,zoet,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0425,"1",0,9
5578,B49D0426-1,76660,379060,DKL,,,-27,-77,zout,0,0,,0,0,,,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,"0",,0,0,0,0,,,,,0,0,0,,,B49D0426,"1",0,9
